year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1954,137,87,Dasyatis longa,Longtail stingray,613178,199.53927933977,Dasyatis_longa-87
1954,137,87,Dosidicus gigas,Jumbo flying squid,690206,868.088355927736,Dosidicus_gigas-87
1954,137,87,Engraulis ringens,Anchoveta,600004,89.315999068966,Engraulis_ringens-87
1954,137,87,Epinephelus,"Seabasses, hinds",500366,81.4453472681822,Epinephelus-87
1954,137,87,Ethmidium maculatum,Pacific menhaden,601593,4.66033372946325,Ethmidium_maculatum-87
1954,137,87,Fistularia corneta,Pacific cornetfish,608289,10575.0557582433,Fistularia_corneta-87
1954,137,87,Gastropoda,Sea snails,290006,1.01754854957073e-4,Gastropoda-87
1954,137,87,Haemulidae,"Grunts, sweetlips, bonnetmouths",400327,0.113794144542328,Haemulidae-87
1954,137,87,Hyporthodus mystacinus,Misty grouper,601206,17.7013420096066,Hyporthodus_mystacinus-87
1954,137,87,Isacia conceptionis,Cabinza grunt,600397,0.727009267158861,Isacia_conceptionis-87
1954,137,87,Istiophoridae,Billfishes,400419,0.666582252440019,Istiophoridae-87
1954,137,87,Isurus,Mako sharks,500638,2.45707982660917,Isurus-87
1954,137,87,Katsuwonus pelamis,Skipjack tuna,600107,23752.6584203175,Katsuwonus_pelamis-87
1954,137,87,Litopenaeus vannamei,Whiteleg shrimp,690440,1371.37452247867,Litopenaeus_vannamei-87
1954,137,87,Lobotes pacificus,Pacific tripletail,660984,46.1763931295681,Lobotes_pacificus-87
1954,137,87,Loligo,Common squids,590010,3.68332775575729e-4,Loligo-87
1954,137,87,Lutjanidae,Snappers,400323,92.1039901427861,Lutjanidae-87
1954,137,87,Lutjanus,Snappers,500357,176.085005979285,Lutjanus-87
1954,137,87,Malacanthidae,Tilefishes,400308,321.619829189567,Malacanthidae-87
1954,137,87,Manta birostris,Giant manta,602061,20.6309912726084,Manta_birostris-87
1954,137,87,Marine fishes not identified,Marine fishes nei,100039,14918.9603903391,Marine_fishes_not_identified-87
1954,137,87,Marine pelagic fishes not identified,Pelagic fishes,100339,767.668439604057,Marine_pelagic_fishes_not_identified-87
1954,137,87,Miscellaneous aquatic invertebrates,Aquatic invertebrates,100077,36.8440772796854,Miscellaneous_aquatic_invertebrates-87
1954,137,87,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",100047,6.20926880585657,Miscellaneous_marine_crustaceans-87
1954,137,87,Mollusca,"Clams, seasnails, squids, octopuses",190195,2.51157963581304,Mollusca-87
1954,137,87,Mugil,Grey mullets,500152,37.4706430788477,Mugil-87
